,track_name,artist_name,total_streams,daily_streams
84,Wonderwall,Oasis,2166325052.0,1024272.0
85,Havana,Camila Cabello,2165624712.0,676841.0
86,Save Your Tears,The Weeknd,2164949384.0,1105282.0
87,Don't Stop Believin' (2022 Remaster),Journey,2162642682.0,1313896.0
88,Don't Stop Me Now,Queen,2146469145.0,1015139.0
89,Without Me,Halsey,2132300279.0,660979.0
90,Take on Me,a-ha,2129502609.0,1059201.0
91,Memories,Maroon 5,2125455824.0,999140.0
92,Uptown Funk,Mark Ronson,2120194228.0,1007743.0
93,Someone Like You,Adele,2109517989.0,1218515.0
94,The Scientist,Coldplay,2090421034.0,1120446.0
95,Till I Collapse,Eminem,2089063723.0,867387.0
96,INDUSTRY BABY,Lil Nas X,2087282297.0,444688.0
97,DÁKITI,Bad Bunny,2083293770.0,617964.0
98,Congratulations,Post Malone,2069188190.0,521396.0
99,Faded,Alan Walker,2057499357.0,744050.0
100,I Took A Pill In Ibiza,Mike Posner,2053557578.0,600532.0
101,Sweet Child O' Mine,Guns N' Roses,2049983026.0,1053623.0
102,Before You Go,Lewis Capaldi,2048830049.0,833219.0
103,Seven,Jung Kook,2046653401.0,2099185.0
104,7 Years,Lukas Graham,2043431257.0,713484.0
105,The Box,Roddy Ricch,2041451856.0,695552.0
106,Stitches,Shawn Mendes,2035388657.0,914567.0
107,We Don't Talk Anymore,Charlie Puth,2024410073.0,948814.0
108,Better Now,Post Malone,2023466489.0,443054.0
109,I'm Not The Only One,Sam Smith,2018080000.0,1048793.0
110,Another One Bites The Dust,Queen,2017784888.0,911957.0
111,See You Again,Wiz Khalifa,2008495976.0,715997.0
112,Payphone,Maroon 5,2004336518.0,1224031.0
113,Roses,SAINt JHN,2000681817.0,438570.0
114,Don't Let Me Down,The Chainsmokers,1993755940.0,791806.0
115,Iris,The Goo Goo Dolls,1992671347.0,2297659.0
116,Moonlight,XXXTENTACION,1990952647.0,844576.0
117,I'm Yours,Jason Mraz,1988304153.0,672959.0
118,MONTERO (Call Me By Your Name),Lil Nas X,1984965521.0,513907.0
119,when the party's over,Billie Eilish,1984602068.0,1225924.0
120,La Bachata,Manuel Turizo,1979143607.0,1053313.0
121,The Real Slim Shady,Eminem,1975648152.0,1239563.0
122,Pumped Up Kicks,Foster The People,1972492582.0,1106491.0
123,Mood,24kGoldn,1969652953.0,741119.0
124,Numb,Linkin Park,1964999995.0,1999964.0
125,Radioactive,Imagine Dragons,1964963268.0,749897.0
126,Rolling in the Deep,Adele,1964725889.0,1032730.0
127,Dynamite,BTS,1961449682.0,608646.0
128,Kiss Me More,Doja Cat,1959076316.0,890865.0
129,See You Again,"Tyler, The Creator",1956000661.0,2928865.0
130,Blank Space,Taylor Swift,1950002943.0,813840.0
131,"thank u, next",Ariana Grande,1949759291.0,576248.0
132,Billie Jean,Michael Jackson,1947519787.0,1251649.0
133,Me Porto Bonito,Bad Bunny,1942591709.0,690389.0
134,Sugar,Maroon 5,1940891276.0,679788.0
135,Africa,TOTO,1939452016.0,1023146.0
136,Call Out My Name,The Weeknd,1933825036.0,927326.0
137,The Nights,Avicii,1930949428.0,846598.0
138,Easy On Me,Adele,1929274718.0,1485939.0
139,Attention,Charlie Puth,1906677878.0,646686.0
140,505,Arctic Monkeys,1902066090.0,1807669.0
141,Somebody That I Used To Know,Gotye,1900919131.0,1082552.0
142,I Don't Care,Ed Sheeran,1898846369.0,749601.0
143,Heathens,Twenty One Pilots,1897553961.0,939487.0
144,Me Rehúso,Danny Ocean,1890166688.0,661146.0
145,Mockingbird,Eminem,1888466491.0,1504108.0
146,I’m Good (Blue),David Guetta,1887642979.0,1353792.0
147,This Is What You Came For,Calvin Harris,1884656034.0,583798.0
148,Gangsta's Paradise,Coolio,1882517170.0,1381441.0
149,Shut Up and Dance,WALK THE MOON,1882115700.0,1163226.0
150,Creep,Radiohead,1877260561.0,1647144.0
151,Youngblood,5 Seconds of Summer,1874330828.0,595889.0
152,I Like Me Better,Lauv,1870955501.0,877828.0
153,Why'd You Only Call Me When You're High?,Arctic Monkeys,1867624711.0,1159016.0
154,Maps,Maroon 5,1862585405.0,1279597.0
155,All I Want for Christmas Is You,Mariah Carey,1861295877.0,2351741.0
156,LA CANCIÓN,J Balvin,1860353000.0,951857.0
157,Chandelier,Sia,1855512837.0,812117.0
158,We Found Love,Calvin Harris,1855016992.0,1111754.0
159,Ride,Twenty One Pilots,1853634484.0,578633.0
160,Dreams,Fleetwood Mac,1853430202.0,1235446.0
161,Night Changes,One Direction,1849705278.0,2728422.0
162,All The Stars,Kendrick Lamar,1847239604.0,1327856.0
163,Be Alright,Dean Lewis,1846789884.0,742343.0
164,Everybody Wants To Rule The World,Tears For Fears,1846638248.0,1304580.0
165,Can't Feel My Face,The Weeknd,1845501198.0,625977.0
166,Cheap Thrills,Sia,1845317976.0,647657.0
167,I Feel It Coming,The Weeknd,1844013038.0,596635.0
168,Hips Don't Lie,Shakira,1843505687.0,1182547.0
169,Let Me Down Slowly,Alec Benjamin,1841319605.0,992989.0
170,Bad Habits,Ed Sheeran,1839143174.0,496739.0
171,Heather,Conan Gray,1829750753.0,1176453.0
172,Despacito (Featuring Daddy Yankee),Luis Fonsi,1827733205.0,494436.0
173,Eastside,benny blanco,1827721073.0,701435.0
174,HIGHEST IN THE ROOM,Travis Scott,1823798991.0,1322006.0
175,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1815001882.0,574474.0
176,Dusk Till Dawn,ZAYN,1814739727.0,926037.0
177,I Ain't Worried,OneRepublic,1806545323.0,1103499.0
178,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,1803022828.0,606895.0
179,September,"Earth, Wind & Fire",1802927059.0,1056775.0
180,The Less I Know The Better,Tame Impala,1800776636.0,912158.0
181,Seven Nation Army,The White Stripes,1800124510.0,830363.0
182,Have You Ever Seen The Rain,Creedence Clearwater Revival,1799598589.0,1065463.0
183,Cheerleader (Felix Jaehn Remix),OMI,1797976369.0,871656.0
184,Danza Kuduro,Don Omar,1796266238.0,1193073.0
185,Set Fire to the Rain,Adele,1792178832.0,1256012.0
186,a thousand years,Christina Perri,1782775813.0,979441.0
187,Fuck Love,XXXTENTACION,1776642203.0,1167100.0
188,Adore You,Harry Styles,1774012584.0,840694.0
189,Earned It (Fifty Shades Of Grey),The Weeknd,1771448526.0,692937.0
190,Sweet but Psycho,Ava Max,1768839937.0,580311.0
191,Ghost,Justin Bieber,1764998479.0,1150339.0
192,Highway to Hell,AC/DC,1763315873.0,1269827.0
193,Titanium,David Guetta,1761730328.0,892534.0
194,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,1758573041.0,713238.0
195,deja vu,Olivia Rodrigo,1757783340.0,1039820.0
196,Wow.,Post Malone,1754482386.0,396827.0
197,Dandelions,Ruth B.,1753659615.0,1279365.0
198,Despacito,Luis Fonsi,1753346545.0,257767.0
199,Somewhere Only We Know,Keane,1751732160.0,1428513.0
200,Livin' On A Prayer,Bon Jovi,1749806055.0,987080.0
201,Beggin',Måneskin,1743896381.0,881078.0
202,Woman,Doja Cat,1741943019.0,980695.0
203,Under Pressure,Queen,1739844898.0,738573.0
204,All Girls Are The Same,Juice WRLD,1739830566.0,1171430.0
205,death bed (coffee for your head),Powfu,1738422196.0,554959.0
206,Party In The U.S.A.,The Starlite Singers,1731667247.0,929820.0
207,everything i wanted,Billie Eilish,1729458932.0,829795.0
208,Hotel California,Eagles,1726559332.0,770742.0
209,Party In The U.S.A.,Miley Cyrus,1724510671.0,815886.0
210,traitor,Olivia Rodrigo,1724411815.0,1125463.0
211,Passionfruit,Drake,1724239369.0,670112.0
212,Mask Off,Future,1720655998.0,857793.0
213,Cake By The Ocean,DNCE,1713303399.0,620791.0
214,A Sky Full of Stars,Coldplay,1712087851.0,1057642.0
215,Anti-Hero,Taylor Swift,1708659409.0,799436.0
216,Silence,Marshmello,1706688610.0,749573.0
217,Redbone,Childish Gambino,1702876723.0,578016.0
218,Back In Black,AC/DC,1702334582.0,973707.0
219,Everybody Dies In Their Nightmares,XXXTENTACION,1698715784.0,827022.0
220,Girls Like You,Maroon 5,1693224012.0,300827.0
221,What Do You Mean?,Justin Bieber,1691441369.0,718799.0
222,Shivers,Ed Sheeran,1691417131.0,1017947.0
223,Peaches,Justin Bieber,1689382230.0,470559.0
224,Falling,Trevor Daniel,1689044779.0,626156.0
225,Pompeii,Bastille,1688408205.0,699961.0
226,Umbrella,Rihanna,1687913989.0,913685.0
227,Save Your Tears,The Weeknd,1687728759.0,874623.0
228,High Hopes,Panic! At The Disco,1685970563.0,457864.0
229,Love The Way You Lie,Eminem,1684275285.0,1026095.0
230,I Fall Apart,Post Malone,1684074644.0,308212.0
231,I Love You So,The Walters,1678408149.0,1697590.0
232,Ric Flair Drip,Offset,1678316195.0,893096.0
233,"Hey, Soul Sister",Train,1677901514.0,923901.0
234,I Like It,Cardi B,1677519836.0,283720.0
235,ROCKSTAR,DaBaby,1675770322.0,269081.0
236,Unholy,Sam Smith,1670299307.0,679292.0
237,Thunderstruck,AC/DC,1661985080.0,871825.0
238,Summertime Sadness,Lana Del Rey,1659083202.0,1270700.0
239,Summer,Calvin Harris,1655195206.0,762528.0
240,IDGAF,Dua Lipa,1653761522.0,355456.0
241,In Da Club,50 Cent,1652546687.0,967744.0
242,Halo,Beyoncé,1651705065.0,742575.0
243,Money Trees,Kendrick Lamar,1642298138.0,985791.0
244,Rude,MAGIC!,1639736106.0,1114813.0
245,Sign of the Times,Harry Styles,1635509711.0,849337.0
246,Young Dumb & Broke,Khalid,1626250746.0,655735.0
247,Timber,Pitbull,1625483547.0,1097052.0
248,Enemy,Imagine Dragons,1625069234.0,1062062.0
249,Taki Taki,DJ Snake,1624663098.0,376107.0
250,Clean White Noise,White Noise Baby Sleep,1620153706.0,308720.0
251,Love On The Brain,Rihanna,1618145902.0,1052455.0
252,Moves Like Jagger,Maroon 5,1617806199.0,1020410.0
253,Hello,Adele,1617593260.0,449111.0
254,Cold Water,Major Lazer,1612036233.0,499050.0
255,Daddy Issues,The Neighbourhood,1610701731.0,1237697.0
256,Tití Me Preguntó,Bad Bunny,1610203934.0,524817.0
257,Sex on Fire,Kings of Leon,1608612909.0,971054.0
258,Rockabye,Clean Bandit,1608103358.0,449734.0
259,Fix You,Coldplay,1599928488.0,844868.0
260,I Want It That Way,Backstreet Boys,1598101223.0,951174.0
261,One Last Time,Ariana Grande,1596342454.0,931105.0
262,Lover,Taylor Swift,1596292792.0,1059995.0
263,2002,Anne-Marie,1596279069.0,438364.0
264,Needed Me,Rihanna,1595692884.0,724483.0
265,Hall of Fame,The Script,1592531177.0,808545.0
266,Love Me Like You Do,Ellie Goulding,1585498096.0,384920.0
267,ocean eyes,Billie Eilish,1581884512.0,1308809.0
268,Espresso,Sabrina Carpenter,1580287248.0,4166249.0
269,Pepas,Farruko,1578891464.0,418703.0
270,Stolen Dance,Milky Chance,1577352507.0,723144.0
271,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1574775429.0,547914.0
272,Hope,XXXTENTACION,1573482808.0,979754.0
273,Godzilla,Eminem,1569432364.0,892455.0
274,you broke me first,Tate McRae,1567878603.0,1031330.0
275,Symphony,Clean Bandit,1566395138.0,654291.0
276,I Gotta Feeling,Black Eyed Peas,1565511601.0,832918.0
277,Dark Horse,Katy Perry,1565333452.0,829342.0
278,BUTTERFLY EFFECT,Travis Scott,1563163108.0,1170318.0
279,Last Christmas,Wham!,1562512988.0,2086799.0
280,The Middle,Zedd,1560682357.0,371612.0
281,Old Town Road,Lil Nas X,1559879068.0,199839.0
282,Psycho,Post Malone,1556284594.0,250060.0
283,Best Part,Daniel Caesar,1556279221.0,1388049.0
284,Beautiful Things,Benson Boone,1556130091.0,3474660.0
285,Revenge,XXXTENTACION,1556021707.0,1306134.0
286,Feel Good Inc.,Gorillaz,1554173805.0,1385419.0
287,Lush Life,Zara Larsson,1554139940.0,819819.0
288,Apocalypse,Cigarettes After Sex,1554002936.0,1968385.0
289,Sure Thing,Miguel,1553161225.0,1389036.0
290,She Will Be Loved,Maroon 5,1552626804.0,811734.0
291,Tusa,KAROL G,1551960847.0,327484.0
292,Pink + White,Frank Ocean,1551421781.0,1650893.0
293,Mi Gente,J Balvin,1541175503.0,384949.0
294,Californication,Red Hot Chili Peppers,1540368068.0,703157.0
295,Hymn for the Weekend,Coldplay,1540261930.0,972993.0
296,24K Magic,Bruno Mars,1538798427.0,638109.0
297,Ojitos Lindos,Bad Bunny,1537833175.0,647354.0
298,Fortunate Son,Creedence Clearwater Revival,1536106159.0,941739.0
299,Call Me Maybe,Carly Rae Jepsen,1536040637.0,944161.0
300,Diamonds,Rihanna,1535694260.0,738955.0
301,Still D.R.E.,Dr. Dre,1533353899.0,778980.0
302,In My Mind,Dynoro,1532199230.0,674789.0
303,Enter Sandman (Remastered),Metallica,1531673405.0,889188.0
304,Let You Down,NF,1530482688.0,434286.0
305,Ni**as In Paris,JAY-Z,1530256204.0,602504.0
306,Sweet Dreams (Are Made of This),Eurythmics,1529505556.0,1065451.0
307,Talking to the Moon,Bruno Mars,1526106665.0,1040557.0
308,Calm Down,Rema,1525812551.0,757266.0
309,Callaita,Bad Bunny,1524616503.0,415886.0
310,greedy,Tate McRae,1523952728.0,1450288.0
311,"Young, Wild & Free (feta. Bruno Mars)",Snoop Dogg,1522038388.0,665918.0
312,In the Name of Love,Martin Garrix,1521015273.0,402933.0
313,Look At Me!,XXXTENTACION,1517816539.0,531873.0
314,Shake It Off,Taylor Swift,1514253402.0,640946.0
315,positions,Ariana Grande,1511342856.0,555490.0
316,ROXANNE,Arizona Zervas,1511209856.0,261194.0
317,Under the Bridge,Red Hot Chili Peppers,1507481193.0,1035858.0
318,Dark Red,Steve Lacy,1506182845.0,1329662.0
319,Side To Side,Ariana Grande,1502004368.0,574780.0
320,Ransom,Lil Tecca,1499173096.0,1314774.0
321,Chop Suey!,System Of A Down,1498638343.0,928957.0
322,Ain't No Mountain High Enough,Marvin Gaye,1493272862.0,894000.0
323,Ain't No Mountain High Enough,Unknown,1492378862.0,805781.0
324,Scars To Your Beautiful,Alessia Cara,1491529688.0,529564.0
325,It Ain’t Me,Kygo,1490640145.0,600795.0
326,Heartless,Kanye West,1488416567.0,1208397.0
327,Losing My Religion,R.E.M.,1487251530.0,896457.0
328,Stronger,Kanye West,1486173243.0,590462.0
329,Animals,Maroon 5,1483481963.0,835881.0
330,Waiting For Love,Avicii,1481114939.0,534316.0
331,FRIENDS,Marshmello,1478918583.0,261261.0
332,cardigan,Taylor Swift,1477962168.0,1072316.0
333,Yeah!,USHER,1477682039.0,1176073.0
334,Work from Home,Fifth Harmony,1477552679.0,315610.0
335,Just Give Me a Reason,P!nk,1476676967.0,1156149.0
336,Dancing Queen,ABBA,1475622823.0,991335.0
337,Hey Ya!,Outkast,1475233690.0,753110.0
338,BIRDS OF A FEATHER,Billie Eilish,1469459984.0,6854668.0
339,Sucker,Jonas Brothers,1468022863.0,385147.0
340,Into You,Ariana Grande,1467831272.0,691714.0
341,Todo De Ti,Rauw Alejandro,1465787662.0,800276.0
342,Creepin',Metro Boomin,1464081140.0,747429.0
343,Work,Rihanna,1463854554.0,431565.0
344,Here Comes The Sun,The Beatles,1462242884.0,796765.0
345,Happy,Pharrell Williams,1459541975.0,628210.0
346,LOVE. FEAT. ZACARI.,Kendrick Lamar,1455790280.0,675827.0
347,Unstoppable,Sia,1454809367.0,1149390.0
348,Yonaguni,Bad Bunny,1453588360.0,351547.0
349,Poker Face,Lady Gaga,1452329760.0,1067618.0
350,Story of My Life,One Direction,1451684600.0,1534950.0
351,Classic,MKTO,1448932236.0,682636.0
352,No Me Conoce,JHAYCO,1447988531.0,604572.0
353,"i hate u, i love u",gnash,1446527725.0,251921.0
354,Better,Khalid,1446432974.0,681405.0
355,Ride It,Regard,1446029268.0,673929.0
356,Grenade,Bruno Mars,1443136532.0,1433783.0
357,Young And Beautiful,Lana Del Rey,1441066845.0,1082928.0
358,Toxic,Britney Spears,1440794155.0,1068185.0
359,Happier Than Ever,Billie Eilish,1436293262.0,862815.0
360,Time of Our Lives,Pitbull,1435076585.0,984124.0
361,Stay,Rihanna,1434642249.0,914412.0
362,Beautiful People,Ed Sheeran,1433363103.0,253622.0
363,Don't,Bryson Tiller,1432882720.0,942965.0
364,Time Of Our Lives,Unknown,1431594775.0,693212.0
365,What Makes You Beautiful,One Direction,1426417885.0,1402115.0
366,Location,Khalid,1425902860.0,442380.0
367,Mercy,Shawn Mendes,1424443961.0,527844.0
368,Meant To Be,Bebe Rexha,1423563961.0,242481.0
369,Come As You Are,Nirvana,1423520537.0,962412.0
370,Dancing With A Stranger,Sam Smith,1422264779.0,456637.0
371,Stereo Hearts,Gym Class Heroes,1422102843.0,641781.0
372,Under The Influence,Chris Brown,1420911312.0,1150822.0
373,More Than You Know,Axwell /\ Ingrosso,1418981052.0,426285.0
374,In My Feelings,Drake,1417878383.0,184132.0
375,Safe and Sound,Capital Cities,1417834595.0,1010905.0
376,Con Calma,Daddy Yankee,1416448161.0,351679.0
377,Rather Be,Clean Bandit,1415391588.0,550236.0
378,Chasing Cars,Snow Patrol,1414850063.0,682135.0
379,Paradise,Coldplay,1414005350.0,647414.0
380,Bang Bang,Jessie J,1412276167.0,585771.0
381,Taste,Tyga,1411360351.0,372437.0
382,Always Remember Us This Way,Lady Gaga,1410194930.0,943997.0
383,Leave The Door Open,Bruno Mars,1409878576.0,610554.0
384,changes,XXXTENTACION,1408827868.0,273902.0
385,Eye of the Tiger,Survivor,1406960777.0,826851.0
386,We Will Rock You,Queen,1406851457.0,726358.0
387,Castle on the Hill,Ed Sheeran,1404855326.0,362253.0
388,Wolves,Selena Gomez,1403044356.0,316610.0
389,PILLOWTALK,ZAYN,1399125331.0,622621.0
390,Where Are You Now,Lost Frequencies,1394899845.0,938296.0
391,Bones,Imagine Dragons,1393370819.0,1001258.0
392,Feel It Still,Portugal. The Man,1392300793.0,1015408.0
393,Efecto,Bad Bunny,1389547824.0,506713.0
394,Glimpse of Us,Joji,1389016973.0,1020180.0
395,Sweet Home Alabama,Lynyrd Skynyrd,1387783217.0,481210.0
396,Lemonade,Internet Money,1387463458.0,551085.0
397,Ho Hey,The Lumineers,1385971027.0,654634.0
398,Hawái,Maluma,1385126040.0,719752.0
399,Hotline Bling,Drake,1384769502.0,360506.0
400,Ophelia,The Lumineers,1384668043.0,623959.0
401,WAP,Cardi B,1382153114.0,318933.0
402,One Of The Girls,The Weeknd,1381593414.0,2614168.0
403,"Me, Myself & I",G-Eazy,1375657531.0,604919.0
404,When We Were Young,Adele,1374987929.0,622314.0
405,no tears left to cry,Ariana Grande,1373641108.0,307459.0
406,Give Me Everything,Pitbull,1370902827.0,1333812.0
407,MIA,Bad Bunny,1367254946.0,292598.0
408,1-800-273-8255,Logic,1367174379.0,258347.0
409,SLOW DANCING IN THE DARK,Joji,1367000935.0,502223.0
410,Whatever It Takes,Imagine Dragons,1366942007.0,682796.0
411,Galway Girl,Ed Sheeran,1366275050.0,339018.0
412,Robbery,Juice WRLD,1365778038.0,511938.0
413,Happier,Ed Sheeran,1362633206.0,267212.0
414,Clean White Noise,White Noise Baby Sleep,1361773739.0,
415,Light It Up (Remix),Major Lazer,1360138461.0,404282.0
416,Crazy In Love,Beyoncé,1357299082.0,1030940.0
417,My Universe,Coldplay,1357022605.0,674570.0
418,Bad Romance,Lady Gaga,1356855798.0,806435.0
419,Praise The Lord (Da Shine),A$AP Rocky,1356765968.0,885942.0
420,Shivers,Ed Sheeran,1356315091.0,
421,TiK ToK,Kesha,1351612783.0,978165.0
422,MIDDLE CHILD,J. Cole,1351388324.0,426834.0
423,Blueberry Faygo,Lil Mosey,1347539591.0,450106.0
424,Can't Stop,Red Hot Chili Peppers,1347339314.0,716412.0
425,Romantic Homicide,d4vd,1340680506.0,1381478.0
426,Clean Baby Sleep White Noise (Loopable),Dream Supplier,1337038051.0,3464315.0
427,PROVENZA,KAROL G,1332856599.0,809968.0
428,"Paint It, Black",The Rolling Stones,1332072208.0,781453.0
429,Wet Dreamz,J. Cole,1329200449.0,579622.0
430,Promiscuous,Nelly Furtado,1328959520.0,1015184.0
431,You Shook Me All Night Long,AC/DC,1328940799.0,651990.0
432,Scared to Be Lonely,Martin Garrix,1328225984.0,552756.0
433,Zombie,The Cranberries,1327659785.0,790779.0
434,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1324437953.0,708186.0
435,Thrift Shop,Macklemore & Ryan Lewis,1322107732.0,569220.0
436,Nice For What,Drake,1320693649.0,260921.0
437,Thrift Shop,Unknown,1318732465.0,577202.0
438,Summer Of '69,Bryan Adams,1318013919.0,634499.0
439,Ella Baila Sola,Eslabon Armado,1315878853.0,593227.0
440,Daylight,David Kushner,1313929687.0,1104047.0
441,Goodbyes,Post Malone,1313463363.0,293929.0
442,Star Shopping,Lil Peep,1312461207.0,878283.0
443,Natural,Imagine Dragons,1312293824.0,543973.0
444,My Love Mine All Mine,Mitski,1310325361.0,2039015.0
445,Sultans Of Swing,Dire Straits,1306691612.0,710627.0
446,hot girl bummer,blackbear,1306601586.0,256022.0
447,Like Crazy,Jimin,1306436918.0,337996.0
448,Falling,Harry Styles,1305712520.0,740457.0
449,Butter,BTS,1305017923.0,270820.0
450,Style,Taylor Swift,1302984991.0,497789.0
451,august,Taylor Swift,1302540403.0,1037164.0
452,Falling Down,Lil Peep,1301427304.0,1278341.0
453,Running Up That Hill (A Deal With God),Kate Bush,1300283848.0,504007.0
454,Everlong,Foo Fighters,1299988302.0,698071.0
455,Dancing On My Own,Calum Scott,1295160706.0,442230.0
456,Astronaut In The Ocean,Masked Wolf,1293472976.0,273330.0
457,Girls Just Want to Have Fun,Cyndi Lauper,1292794769.0,754118.0
458,Sugar,Robin Schulz,1292229537.0,647614.0
459,Last Friday Night (T.G.I.F.),Katy Perry,1291594525.0,916169.0
460,Outside,Calvin Harris,1290728612.0,957900.0
461,I'm the One,DJ Khaled,1290561073.0,203372.0
462,How to Save a Life,The Fray,1286233547.0,692010.0
463,Royals,Lorde,1286057622.0,374871.0
464,Lose Control,Teddy Swims,1285277782.0,2998752.0
465,Welcome To The Jungle,Guns N' Roses,1283148992.0,619946.0
466,Life Is Good,Future,1278250305.0,277539.0
467,Budapest,George Ezra,1277330791.0,771025.0
468,Lose You To Love Me,Selena Gomez,1276924415.0,445812.0
469,Bring Me To Life,Evanescence,1275903926.0,1140688.0
470,Gata Only,FloyyMenor,1273804918.0,2047378.0
471,Arcade,Duncan Laurence,1271654723.0,604044.0
472,telepatía,Kali Uchis,1270745857.0,816491.0
473,Stick Season,Noah Kahan,1267899871.0,1666476.0
474,How Deep Is Your Love,Calvin Harris,1266842850.0,576609.0
475,Centuries,Fall Out Boy,1265241601.0,522859.0
